Gene_accession no.	Class	Phenotype	PMID	Mechanism of resistance	Notes	Required_gene
aac(3)-IV_1_DQ241380	Aminoglycoside	Gentamicin, Tobramycin	16331988	Enzymatic modification	curated	
aac(3)-VIa_2_NC_009838	Aminoglycoside	Gentamicin	16940062	Enzymatic modification	curated	
aph(3')-Ib_2_AJ744860	Aminoglycoside		15848226	Enzymatic modification	curated	
ant(9)-Ia_2_M69221	Aminoglycoside		1659306	Enzymatic modification	Alternative name aad(9), curated, spc	
aadA24_1_DQ677333	Aminoglycoside	Streptomycin	17650961	Enzymatic modification	curated	
aadA8b_1_AY139603	Aminoglycoside	Streptomycin	19719593	Enzymatic modification	curated	
aadA2b_1_D43625	Aminoglycoside	Streptomycin	85862590	Enzymatic modification	curated	
aac(6')-Ii_1_L12710	Aminoglycoside	Amikacin, Tobramycin	8239603	Enzymatic modification	curated	
aac(3)-XI_1_CTEG01000046	Aminoglycoside		unpublished	Enzymatic modification	curated	
aac(3)-VIII_1_AB211959	Aminoglycoside		16506694	Enzymatic modification	curated	
aac(3)-VIII_2_AJ843080	Aminoglycoside		15827636	Enzymatic modification	curated	
aac(3)-VIII_3_AJ748131	Aminoglycoside		16258246	Enzymatic modification	curated	
kmr_1_ENA_ACB88605	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	25733511	Target protection	curated	
blaNDM-19_1_MF370080	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	Unpublished	Enzymatic inactivation	Subclass B1, curated	
blaNDM-20_1_KY654092	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	29515538	Enzymatic inactivation	Subclass B1, curated	
blaNDM-21_1_MG183694	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	Unpublished	Enzymatic inactivation	Subclass B1, curated	
blaOXA-368_1_KT736121	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;, curated	
blaOXA-336_1_KF048907	Beta-lactam		25541711	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-337_1_KF048908	Beta-lactam		25541711	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-338_1_KF048909	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-339_1_KF048911	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-340_1_KF048912	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-341_1_KF048913	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-342_1_KF048915	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-343_1_KF048916	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-344_1_KF048917	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-345_1_KF048918	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-346_1_KF048919	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-347_1_ACWG01000053	Beta-lactam		22845886	Enzymatic inactivation	Class D;Natural in Bacteroides spp.;, curated	
blaOXA-361_1_KF460531	Beta-lactam		24288029	Enzymatic inactivation	Class D;OXA-134-like;Natural in Acinetobacter lwoffii;, curated	
blaOXA-362_1_KF460532	Beta-lactam		24288029	Enzymatic inactivation	Class D;OXA-134-like;Natural in Acinetobacter lwoffii;, curated	
blaOXA-363_1_KF460533	Beta-lactam		24288029	Enzymatic inactivation	Class D;OXA-134-like;Natural in Acinetobacter lwoffii;, curated	
blaOXA-364_1_JX306689	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-243-like;Natural in Achromobacter dolens;, curated	
blaOXA-365_1_KF885217	Beta-lactam		24622099	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-366_1_KP050485	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-370_1_KJ488943	Beta-lactam	Piperacillin+Tazobactam	24709259	Enzymatic inactivation	Class D;OXA-48-like;, curated	
blaOXA-373_1_HG931732	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-211-like;Natural in Acinetobacter johnsonii;, curated	
blaOXA-374_1_KF986255	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-375_1_KF986256	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-376_1_KF986257	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-377_1_KF986258	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-378_1_KF986259	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-379_1_KF986260	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-380_1_KF986261	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-381_1_KJ135344	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-382_1_KJ135345	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-383_1_KF986262	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-384_1_KF986263	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-385_1_KF986253	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-386_1_KF986254	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-387_1_KJ173478	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-388_1_KJ135343	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-389_1_KJ135346	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-390_1_KJ135342	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-391_1_KJ427797	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-392_1_AB901044	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-1-like;, curated	
blaOXA-395_1_AY306133	Beta-lactam	Amoxicillin, Ampicillin, Meropenem	15155197	Enzymatic inactivation	Class D;OXA-50-like;Natural in Pseudomonas aeruginosa;The enzyme has weak activity and confers decreased susceptibility but not resistance to the antimicrobials listed. Phenotype expressed in Pseudomonas aeruginosa but not in Escherichia coli., curated	
blaOXA-396_1_AY306134	Beta-lactam	Amoxicillin, Ampicillin, Meropenem	15155197	Enzymatic inactivation	Class D;OXA-50-like;Natural in Pseudomonas aeruginosa;The enzyme has weak activity and confers decreased susceptibility but not resistance to the antimicrobials listed. Phenotype expressed in Pseudomonas aeruginosa but not in Escherichia coli., curated	
blaOXA-397_1_KM087865	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-58-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-398_1_KM087842	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-400_1_KJ780078	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-401_1_KJ780076	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-402_1_JX865391	Beta-lactam		23264451	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-403_1_KJ920337	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-404_1_KJ920338	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-405_1_KM589641	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam	25870062	Enzymatic inactivation	Class D;OXA-48-like;, curated	
blaOXA-406_1_KJ584915	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-407_1_KJ584916	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-408_1_KJ584917	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-409_1_KJ584918	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-410_1_KJ584919	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-411_1_KJ584920	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-412_1_KJ584921	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-413_1_KJ584922	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-414_1_KJ584914	Beta-lactam		25616788	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-415_1_KJ865754	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-2-like;, curated	
blaOXA-416_1_KP264119	Beta-lactam	Amoxicillin, Ampicillin, Imipenem, Ticarcillin	25766005	Enzymatic inactivation	Class D;OXA-48-like;Natural in Shewanella xiamenensis;, curated	
blaOXA-417_1_KM220587	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter calcoaceticus;, curated	
blaOXA-418_1_KJ997966	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-228-like;Natural in Acinetobacter bereziniae;, curated	
blaOXA-420_1_AB983359	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-58-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-421_1_KM401566	Beta-lactam		25428154	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter pittii;, curated	
blaOXA-422_1_KM433671	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-423_1_KM433672	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-424_1_KM588352	Beta-lactam		25487793	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-425_1_KM588353	Beta-lactam		25487793	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-426_1_KM588354	Beta-lactam		25487793	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-429_1_KM979376	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-430_1_KM979377	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-431_1_KM979378	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-432_1_KM979379	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-433_1_KM979380	Beta-lactam		28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated	
blaOXA-435_1_KP144324	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-436_1_KT959105	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-48-like;, curated	
blaOXA-437_1_KP410856	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-24-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-438_1_KP410734	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-48-like;, curated	
blaOXA-439_1_KP727573	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-48-like;, curated	
blaOXA-440_1_KP727574	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-441_1_JX865394	Beta-lactam		23264451	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-442_1_KP844571	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-443_1_LC030178	Beta-lactam		25953190	Enzymatic inactivation	Class D;OXA-22-like;Natural in Ralstonia mannitolilytica;, curated	
blaOXA-444_1_CP010800	Beta-lactam		25953190	Enzymatic inactivation	Class D;OXA-60-like;Natural in Ralstonia mannitolilytica;, curated	
blaOXA-450_1_KR061502	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-61-like;Natural in Campylobacter coli;, curated	
blaOXA-451_1_KR061504	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-61-like;Natural in Campylobacter jejuni;, curated	
blaOXA-452_1_KR061505	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-61-like;Natural in Campylobacter jejuni;, curated	
blaOXA-453_1_KR061507	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-61-like;Natural in Campylobacter jejuni;, curated	
blaOXA-454_1_LC037981	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-10-like;Natural in Delftia acidovorans;, curated	
blaOXA-455_1_KP903885	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-243-like;Natural in Achromobacter insuavis;, curated	
blaOXA-457_1_KP903887	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-243-like;Natural in Achromobacter insuavis;Alternative name blaOXA-456;, curated	
blaOXA-458_1_KP903888	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-243-like;Natural in Achromobacter sp. 2015clin4ach;, curated	
blaOXA-459_1_KP903889	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-243-like;Natural in Achromobacter insuavis;, curated	
blaOXA-460_1_KR061508	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-61-like;Natural in Campylobacter coli;, curated	
blaOXA-461_1_KR061509	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-61-like;Natural in Campylobacter jejuni;, curated	
blaOXA-464_1_KU721146	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-464-like;Natural in Arcobacter butzleri;, curated	
blaOXA-470_1_KR182163	Beta-lactam		26315325	Enzymatic inactivation	Class D;OXA-63-like;Natural in Brachyspira pilosicoli;, curated	
blaOXA-471_1_EU086833	Beta-lactam		18719182	Enzymatic inactivation	Class D;OXA-63-like;Natural in Brachyspira pilosicoli;, curated	
blaOXA-472_1_KR182165	Beta-lactam		26315325	Enzymatic inactivation	Class D;OXA-63-like;Natural in Brachyspira pilosicoli;, curated	
blaOXA-473_1_KR182166	Beta-lactam		26315325	Enzymatic inactivation	Class D;OXA-63-like;Natural in Brachyspira pilosicoli;, curated	
blaOXA-474_1_KR182167	Beta-lactam		26315325	Enzymatic inactivation	Class D;OXA-63-like;Natural in Brachyspira pilosicoli;, curated	
blaOXA-475_1_KR182168	Beta-lactam		26315325	Enzymatic inactivation	Class D;OXA-63-like;Natural in Brachyspira pilosicoli;, curated	
blaOXA-476_1_KR182169	Beta-lactam		26315325	Enzymatic inactivation	Class D;OXA-63-like;Natural in Brachyspira pilosicoli;, curated	
blaOXA-477_1_KR182170	Beta-lactam		26315325	Enzymatic inactivation	Class D;OXA-63-like;Natural in Brachyspira pilosicoli;, curated	
blaOXA-478_1_KR182171	Beta-lactam		26315325	Enzymatic inactivation	Class D;OXA-63-like;Natural in Brachyspira pilosicoli;, curated	
blaOXA-479_1_KR182172	Beta-lactam		26315325	Enzymatic inactivation	Class D;OXA-63-like;Natural in Brachyspira pilosicoli;, curated	
blaOXA-480_1_KR872296	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated	
blaOXA-482_1_KP264124	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaOXA-483_1_KP264125	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaOXA-484_1_KR401105	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-48-like;, curated	
blaOXA-485_1_LLNM01000004	Beta-lactam		26604259	Enzymatic inactivation	Class D;OXA-50-like;Natural in Pseudomonas aeruginosa;, curated	
blaOXA-486_1_AY597426	Beta-lactam		16120476	Enzymatic inactivation	Class D;OXA-50-like;Natural in Pseudomonas aeruginosa;Alternative name poxB8;, curated	
blaOXA-488_1_CP017969	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-50-like;Natural in Pseudomonas aeruginosa;, curated	
blaOXA-489_1_CP013733	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-61-like;Natural in Campylobacter coli;, curated	
blaOXA-490_1_KU721147	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-464-like;Natural in Arcobacter butzleri;, curated	
blaOXA-491_1_KU721148	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-464-like;Natural in Arcobacter butzleri;, curated	
